Mês/Ano;UF;Município;Zona;Quantidade;%
Junho - 2013;PI;GUARIBAS;79;3.886;0,166
Junho - 2013;PI;HUGO NAPOLEÃO;52;3.776;0,161
Junho - 2013;PI;ILHA GRANDE;4;7.174;0,306
Junho - 2013;PI;INHUMA;64;12.430;0,530
Junho - 2013;PI;IPIRANGA DO PIAUÍ;89;7.197;0,307
Junho - 2013;PI;ISAÍAS COELHO;37;6.187;0,264
Junho - 2013;PI;ITAINÓPOLIS;57;8.859;0,378
Junho - 2013;PI;ITAUEIRA;72;8.546;0,364
Junho - 2013;PI;JACOBINA DO PIAUÍ;38;4.459;0,190
Junho - 2013;PI;JAICÓS;19;12.190;0,520
Junho - 2013;PI;JARDIM DO MULATO;84;3.757;0,160
Junho - 2013;PI;JATOBÁ DO PIAUÍ;7;5.500;0,234
Junho - 2013;PI;JERUMENHA;25;4.307;0,184
Junho - 2013;PI;JOÃO COSTA;20;2.897;0,123
Junho - 2013;PI;JOAQUIM PIRES;85;11.101;0,473
Junho - 2013;PI;JOCA MARQUES;27;4.350;0,185
Junho - 2013;PI;JOSÉ DE FREITAS;24;30.220;1,288
Junho - 2013;PI;JUAZEIRO DO PIAUÍ;34;5.619;0,240
Junho - 2013;PI;JÚLIO BORGES;51;4.360;0,186
Junho - 2013;PI;JUREMA;95;4.110;0,175
Junho - 2013;PI;LAGOA ALEGRE;16;7.363;0,314
Junho - 2013;PI;LAGOA DE SÃO FRANCISCO;12;4.852;0,207
Junho - 2013;PI;LAGOA DO BARRO DO PIAUÍ;20;3.817;0,163
Junho - 2013;PI;LAGOA DO PIAUÍ;54;3.459;0,147
Junho - 2013;PI;LAGOA DO SÍTIO;18;4.456;0,190
Junho - 2013;PI;LAGOINHA DO PIAUÍ;52;2.425;0,103
Junho - 2013;PI;LANDRI SALES;75;4.387;0,187
Junho - 2013;PI;LUIS CORREIA;91;23.561;1,004
Junho - 2013;PI;LUZILÂNDIA;27;19.072;0,813
Junho - 2013;PI;MADEIRO;27;5.948;0,254
Junho - 2013;PI;MANOEL EMÍDIO;67;4.433;0,189
Junho - 2013;PI;MARCOLÂNDIA;68;6.321;0,269
Junho - 2013;PI;MARCOS PARENTE;87;3.832;0,163
Junho - 2013;PI;MASSAPÊ DO PIAUÍ;19;5.726;0,244
Junho - 2013;PI;MATIAS OLÍMPIO;80;8.323;0,355
Junho - 2013;PI;MIGUEL ALVES;17;24.084;1,027
Junho - 2013;PI;MIGUEL LEÃO;58;1.260;0,054
Junho - 2013;PI;MILTON BRANDÃO;12;5.482;0,234
Junho - 2013;PI;MONSENHOR GIL;58;9.471;0,404
Junho - 2013;PI;MONSENHOR HIPÓLITO;65;6.185;0,264
Junho - 2013;PI;MONTE ALEGRE DO PIAUÍ;94;7.872;0,336
Junho - 2013;PI;MORRO CABEÇA NO TEMPO;88;3.670;0,156
Junho - 2013;PI;MORRO DO CHAPÉU DO PIAUÍ;41;5.769;0,246
Junho - 2013;PI;MURICI DOS PORTELAS;85;6.007;0,256
Junho - 2013;PI;NAZARÉ DO PIAUÍ;60;6.439;0,274
Junho - 2013;PI;NAZÁRIA;97;10.101;0,431
Junho - 2013;PI;NOSSA SENHORA DE NAZARÉ;96;4.691;0,200
Junho - 2013;PI;NOSSA SENHORA DOS REMÉDIOS;86;6.916;0,295
Junho - 2013;PI;NOVA SANTA RITA;20;3.579;0,153
Junho - 2013;PI;NOVO ORIENTE DO PIAUÍ;18;5.686;0,242
Junho - 2013;PI;NOVO SANTO ANTÔNIO;42;3.739;0,159
Junho - 2013;PI;OEIRAS;5;26.769;1,141
Junho - 2013;PI;OLHO D'ÁGUA DO PIAUÍ;52;2.271;0,097
Junho - 2013;PI;PADRE MARCOS;68;5.736;0,245
Junho - 2013;PI;PAES LANDIM;83;3.567;0,152
Junho - 2013;PI;PAJEÚ DO PIAUÍ;36;2.845;0,121
Junho - 2013;PI;PALMEIRA DO PIAUÍ;59;4.364;0,186
Junho - 2013;PI;PALMEIRAIS;31;11.059;0,471
Junho - 2013;PI;PAQUETÁ;10;3.653;0,156
Junho - 2013;PI;PARNAGUÁ;26;6.905;0,294
Junho - 2013;PI;PARNAÍBA;3;93.380;3,980
Junho - 2013;PI;PARNAÍBA;4;5.128;0,219
Junho - 2013;PI;PASSAGEM FRANCA DO PIAUÍ;52;3.617;0,154
Junho - 2013;PI;PATOS DO PIAUÍ;19;5.510;0,235
Junho - 2013;PI;PAU D'ARCO DO PIAUÍ;32;4.121;0,176
Junho - 2013;PI;PAULISTANA;38;14.631;0,624
Junho - 2013;PI;PAVUSSU;72;3.641;0,155
Junho - 2013;PI;PEDRO II;12;28.809;1,228
Junho - 2013;PI;PEDRO LAURENTINO;20;2.586;0,110
Junho - 2013;PI;PICOS;10;26.892;1,146
Junho - 2013;PI;PICOS;62;17.123;0,730
Junho - 2013;PI;PIMENTEIRAS;55;9.106;0,388
Junho - 2013;PI;PIO IX;29;13.464;0,574
Junho - 2013;PI;PIRACURUCA;21;20.429;0,871
Junho - 2013;PI;PIRIPIRI;11;42.207;1,799
Junho - 2013;PI;PORTO;49;8.661;0,369
Junho - 2013;PI;PORTO ALEGRE DO PIAUÍ;78;1.973;0,084
Junho - 2013;PI;PRATA DO PIAUÍ;76;3.392;0,145
Junho - 2013;PI;QUEIMADA NOVA;38;6.618;0,282
Junho - 2013;PI;REDENÇÃO DO GURGUÉIA;15;6.324;0,270
Junho - 2013;PI;REGENERAÇÃO;43;13.981;0,596
Junho - 2013;PI;RIACHO FRIO;26;4.093;0,174
Junho - 2013;PI;RIBEIRA DO PIAUÍ;73;3.501;0,149
Junho - 2013;PI;RIBEIRO GONÇALVES;44;4.922;0,210
Junho - 2013;PI;RIO GRANDE DO PIAUÍ;72;5.775;0,246
