codigo_ibge,municipio,estado,mesorregiao,microrregiao,populacao_censo_2022,populacao_estimada_ultimo_ano,ano_estimativa,sexo_masculino,sexo_feminino,sexo_total,faixa_0_14,faixa_15_59,faixa_60_mais,faixa_total,cor_branca,cor_preta,cor_parda,cor_amarela,cor_indigena,cor_total,taxa_alfabetizacao_15_mais,taxa_analfabetismo_15_mais,pop_urbana,pop_rural,taxa_urbana,taxa_rural,renda_per_capita,pct_vulneraveis_pobreza,ano_renda_vulnerabilidade
2201606,Beneditinos,PI,Centro-Norte Piauiense,Teresina,9929,10093,2025,4969,4960,9929,1977,6015,1937,9929,1807,1004,7102,1,15,9929,73.81,26.19,6185,3744,62.29,37.71,263.09,66.93,2010
2201705,Bertolínia,PI,Sudoeste Piauiense,Bertolínia,5562,5715,2025,2834,2728,5562,1210,3486,866,5562,991,835,3719,4,13,5562,83.36,16.64,4410,1152,79.29,20.71,325.94,57.68,2010
2201739,Betânia do Piauí,PI,Sudeste Piauiense,Alto Médio Canindé,6220,6596,2025,3165,3055,6220,1493,3897,830,6220,1971,807,3406,2,34,6220,71.36,28.64,2186,4034,35.14,64.86,164.69,80.78,2010
2201770,Boa Hora,PI,Norte Piauiense,Baixo Parnaíba Piauiense,6902,7140,2025,3542,3360,6902,1535,4409,958,6902,907,485,5508,,2,6902,71.66,28.34,3319,3583,48.09,51.91,221.27,72.77,2010
2201804,Bocaina,PI,Sudeste Piauiense,Picos,4078,4118,2025,1982,2096,4078,666,2480,932,4078,1584,320,2174,,,4078,82.47,17.53,1785,2293,43.77,56.23,366.07,55.35,2010
2201903,Bom Jesus,PI,Sudoeste Piauiense,Alto Médio Gurguéia,28796,30658,2025,14329,14467,28796,6976,18942,2878,28796,6251,3711,18577,6,250,28796,88.1,11.9,23614,5182,82,18,501.14,52.2,2010
2201919,Bom Princípio do Piauí,PI,Norte Piauiense,Litoral Piauiense,5636,5805,2025,2952,2684,5636,1187,3660,789,5636,1578,188,3857,13,,5636,77.32,22.68,1915,3721,33.98,66.02,211.44,76.9,2010
2201929,Bonfim do Piauí,PI,Sudoeste Piauiense,São Raimundo Nonato,5913,6117,2025,3013,2900,5913,1288,3701,924,5913,1247,453,4191,3,19,5913,70.53,29.47,1790,4123,30.27,69.73,233.05,63.68,2010
2201945,Boqueirão do Piauí,PI,Centro-Norte Piauiense,Campo Maior,6545,6751,2025,3237,3308,6545,1398,4067,1080,6545,734,430,5377,1,3,6545,78.43,21.57,3139,3406,47.96,52.04,253.4,62.64,2010
2201960,Brasileira,PI,Norte Piauiense,Baixo Parnaíba Piauiense,8436,8684,2025,4228,4208,8436,1687,5344,1405,8436,1631,516,6265,3,21,8436,75.24,24.76,3952,4484,46.85,53.15,281.71,60.16,2010
