territorio,municipio,codigo_ibge,populacao_censo_2022,populacao_estimada,ano_estimativa
"Vale do Rio Guaribas","Dom Expedito Lopes","2203404","6320","6410","2025"
"Vale do Rio Guaribas","Francisco Santos","2204204","8237","8349","2025"
"Vale do Rio Guaribas","Fronteiras","2204303","10259","10344","2025"
"Vale do Rio Guaribas","Geminiano","2204352","5445","5604","2025"
"Vale do Rio Guaribas","Itainópolis","2205003","10790","10969","2025"
"Vale do Rio Guaribas","Monsenhor Hipólito","2206506","7577","7762","2025"
"Vale do Rio Guaribas","Paquetá","2207553","3813","3873","2025"
"Vale do Rio Guaribas","Picos","2208007","83090","86701","2025"
"Vale do Rio Guaribas","Pio IX","2208205","17613","17948","2025"
"Vale do Rio Guaribas","Santana do Piauí","2209351","4125","4159","2025"
"Vale do Rio Guaribas","Santo Antônio de Lisboa","2209401","5839","5930","2025"
"Vale do Rio Guaribas","São João da Canabrava","2209856","4242","4359","2025"
"Vale do Rio Guaribas","São José do Piauí","2210201","6597","6733","2025"
"Vale do Rio Guaribas","São Julião","2210300","6025","6131","2025"
"Vale do Rio Guaribas","São Luís do Piauí","2210375","2309","2277","2025"
"Vale do Rio Guaribas","Sussuapara","2210938","6220","6346","2025"
"Vale do Rio Guaribas","Vera Mendes","2211506","3185","3282","2025"
"Vale do Rio Guaribas","Vila Nova do Piauí","2211605","2935","2972","2025"
"Chapada do Vale do Rio Itaim","Acauã","2200053","6420","6323","2025"
"Chapada do Vale do Rio Itaim","Belém do Piauí","2201572","3423","3515","2025"
"Chapada do Vale do Rio Itaim","Betânia do Piauí","2201739","6220","6596","2025"
"Chapada do Vale do Rio Itaim","Caldeirão Grande do Piauí","2202091","5503","5602","2025"
"Chapada do Vale do Rio Itaim","Caridade do Piauí","2202554","5033","5176","2025"
"Chapada do Vale do Rio Itaim","Curral Novo do Piauí","2203271","5073","5191","2025"
"Chapada do Vale do Rio Itaim","Francisco Macedo","2204154","2929","2985","2025"
"Chapada do Vale do Rio Itaim","Jacobina do Piauí","2205151","5613","5711","2025"
"Chapada do Vale do Rio Itaim","Jaicós","2205201","17527","17789","2025"
"Chapada do Vale do Rio Itaim","Marcolândia","2205953","8533","8822","2025"
"Chapada do Vale do Rio Itaim","Massapê do Piauí","2206050","5218","5165","2025"
"Chapada do Vale do Rio Itaim","Padre Marcos","2207207","6382","6468","2025"
"Chapada do Vale do Rio Itaim","Patos do Piauí","2207777","5425","5427","2025"
"Chapada do Vale do Rio Itaim","Paulistana","2207801","21055","21633","2025"
"Chapada do Vale do Rio Itaim","Queimada Nova","2208650","8738","8948","2025"
"Chapada do Vale do Rio Itaim","Simões","2210706","14350","14664","2025"
"Vale do Canindé","Bela Vista do Piauí","2201556","4091","4225","2025"
"Vale do Canindé","Cajazeiras do Piauí","2202075","3108","3135","2025"
"Vale do Canindé","Campinas do Piauí","2202109","4938","4964","2025"
"Vale do Canindé","Colônia do Piauí","2202778","6994","7067","2025"
"Vale do Canindé","Conceição do Canindé","2202802","4932","5078","2025"
"Vale do Canindé","Floresta do Piauí","2203859","2333","2354","2025"
"Vale do Canindé","Isaías Coelho","2204907","7774","7867","2025"
"Vale do Canindé","Oeiras","2207009","38161","39687","2025"
"Vale do Canindé","Santa Cruz do Piauí","2209104","5831","5872","2025"
"Vale do Canindé","Santa Rosa do Piauí","2209377","4650","4666","2025"
"Vale do Canindé","Santo Inácio do Piauí","2209500","3646","3682","2025"
"Vale do Canindé","São Francisco de Assis do Piauí","2209658","5572","5713","2025"
"Vale do Canindé","São Francisco do Piauí","2209708","5392","5358","2025"
"Vale do Canindé","São João da Varjota","2209955","4383","4430","2025"
"Vale do Canindé","São Miguel do Fidalgo","2210391","2829","2864","2025"
"Vale do Canindé","Simplício Mendes","2210805","13870","14437","2025"
"Vale do Canindé","Tanque do Piauí","2210979","2316","2319","2025"
"Vale do Canindé","Wall Ferraz","2211704","4059","4195","2025"
"Serra da Capivara","Anísio de Abreu","2200707","9407","9649","2025"
"Serra da Capivara","Bonfim do Piauí","2201929","5913","6117","2025"
"Serra da Capivara","Campo Alegre do Fidalgo","2202117","4616","4698","2025"
"Serra da Capivara","Capitão Gervásio Oliveira","2202455","3974","4071","2025"
"Serra da Capivara","Caracol","2202505","10318","10546","2025"
"Serra da Capivara","Coronel José Dias","2202851","4250","4291","2025"
"Serra da Capivara","Dirceu Arcoverde","2203354","7054","7259","2025"
"Serra da Capivara","Dom Inocêncio","2203453","9159","9332","2025"
"Serra da Capivara","Fartura do Piauí","2203750","5284","5426","2025"
"Serra da Capivara","Guaribas","2204550","4276","4344","2025"
"Serra da Capivara","João Costa","2205359","2970","3033","2025"
"Serra da Capivara","Jurema","2205532","4425","4501","2025"
"Serra da Capivara","Lagoa do Barro do Piauí","2205565","4995","5171","2025"
"Serra da Capivara","São Braz do Piauí","2209559","4358","4454","2025"
"Serra da Capivara","São João do Piauí","2210003","21421","22137","2025"
"Serra da Capivara","São Lourenço do Piauí","2210359","4410","4497","2025"
"Serra da Capivara","São Raimundo Nonato","2210607","38934","41139","2025"
"Serra da Capivara","Várzea Branca","2211357","5055","5181","2025"
"Vale dos Rios Piauí e Itaueira","Arraial","2201002","4520","4517","2025"
"Vale dos Rios Piauí e Itaueira","Brejo do Piauí","2201988","3904","3964","2025"
"Vale dos Rios Piauí e Itaueira","Canto do Buriti","2202307","19365","19639","2025"
"Vale dos Rios Piauí e Itaueira","Floriano","2203909","62036","64393","2025"
"Vale dos Rios Piauí e Itaueira","Flores do Piauí","2203800","4414","4512","2025"
"Vale dos Rios Piauí e Itaueira","Francisco Ayres","2204105","4412","4548","2025"
"Vale dos Rios Piauí e Itaueira","Itaueira","2205102","10323","10477","2025"
"Vale dos Rios Piauí e Itaueira","Nazaré do Piauí","2206704","6665","6697","2025"
"Vale dos Rios Piauí e Itaueira","Nova Santa Rita","2207959","4076","4142","2025"
"Vale dos Rios Piauí e Itaueira","Pajeú do Piauí","2207355","3000","3032","2025"
"Vale dos Rios Piauí e Itaueira","Pavussu","2207850","3628","3697","2025"
"Vale dos Rios Piauí e Itaueira","Paes Landim","2207306","4088","4176","2025"
"Vale dos Rios Piauí e Itaueira","Pedro Laurentino","2207934","2458","2517","2025"
"Vale dos Rios Piauí e Itaueira","Ribeira do Piauí","2208874","4055","4105","2025"
"Vale dos Rios Piauí e Itaueira","Rio Grande do Piauí","2209005","5801","5845","2025"
"Vale dos Rios Piauí e Itaueira","São José do Peixe","2210102","3297","3300","2025"
"Vale dos Rios Piauí e Itaueira","Socorro do Piauí","2210904","4141","4165","2025"
"Vale dos Rios Piauí e Itaueira","Tamboril do Piauí","2210953","2949","3040","2025"
"Tabuleiros do Alto Parnaíba","Antônio Almeida","2200806","3152","3234","2025"
"Tabuleiros do Alto Parnaíba","Baixa Grande do Ribeiro","2201150","13272","13983","2025"
"Tabuleiros do Alto Parnaíba","Bertolínia","2201705","5562","5715","2025"
"Tabuleiros do Alto Parnaíba","Canavieira","2202251","3414","3404","2025"
"Tabuleiros do Alto Parnaíba","Guadalupe","2204501","10270","10480","2025"
"Tabuleiros do Alto Parnaíba","Jerumenha","2205300","4497","4606","2025"
"Tabuleiros do Alto Parnaíba","Landri Sales","2205607","5213","5309","2025"
"Tabuleiros do Alto Parnaíba","Marcos Parente","2206001","4724","4863","2025"
"Tabuleiros do Alto Parnaíba","Porto Alegre do Piauí","2208551","2364","2382","2025"
"Tabuleiros do Alto Parnaíba","Ribeiro Gonçalves","2208908","6164","6182","2025"
"Tabuleiros do Alto Parnaíba","Sebastião Leal","2210631","4446","4590","2025"
"Tabuleiros do Alto Parnaíba","Uruçuí","2211209","25203","26779","2025"
"Chapada das Mangabeiras","Alvorada do Gurgueia","2200459","5322","5474","2025"
"Chapada das Mangabeiras","Avelino Lopes","2201101","10866","11118","2025"
"Chapada das Mangabeiras","Barreiras do Piauí","2201309","3264","3336","2025"
"Chapada das Mangabeiras","Bom Jesus","2201903","28796","30658","2025"
"Chapada das Mangabeiras","Colônia do Gurgueia","2202752","6150","6294","2025"
"Chapada das Mangabeiras","Corrente","2202901","27278","28381","2025"
"Chapada das Mangabeiras","Cristalândia do Piauí","2203008","7356","7431","2025"
"Chapada das Mangabeiras","Cristino Castro","2203107","10503","10801","2025"
"Chapada das Mangabeiras","Curimatá","2203206","11270","11581","2025"
"Chapada das Mangabeiras","Currais","2203230","4854","4977","2025"
"Chapada das Mangabeiras","Eliseu Martins","2203602","4377","4421","2025"
"Chapada das Mangabeiras","Gilbués","2204402","10892","11193","2025"
"Chapada das Mangabeiras","Júlio Borges","2205524","5388","5501","2025"
